INFO 2024-09-07 20:45:08,128 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-07 20:45:08,131 autoreload Waiting for apps ready_event.
DEBUG 2024-09-07 20:45:08,353 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-07 20:45:08,359 autoreload Watching dir /home/ubuntu/3CX/cdr with glob **/*.
DEBUG 2024-09-07 20:45:08,401 autoreload Watching dir /home/ubuntu/3CX/cdr/templates with glob **/*.
DEBUG 2024-09-07 20:45:08,407 autoreload Watching dir /home/ubuntu/3CX/venv/lib/python3.12/site-packages/import_export/templates with glob **/*.
DEBUG 2024-09-07 20:45:08,409 autoreload Watching dir /home/ubuntu/3CX/venv/lib/python3.12/site-packages/crispy_bootstrap4/templates with glob **/*.
DEBUG 2024-09-07 20:45:08,410 autoreload Watching dir /home/ubuntu/3CX/cdr/locale with glob **/*.mo.
DEBUG 2024-09-07 20:45:08,410 autoreload Watching dir /home/ubuntu/3CX/cdr/cdr3cx/locale with glob **/*.mo.
DEBUG 2024-09-07 20:45:08,410 autoreload Watching dir /home/ubuntu/3CX/cdr/accounts/locale with glob **/*.mo.
DEBUG 2024-09-07 20:45:08,410 autoreload Watching dir /home/ubuntu/3CX/venv/lib/python3.12/site-packages/crispy_forms/locale with glob **/*.mo.
DEBUG 2024-09-07 20:45:08,410 autoreload Watching dir /home/ubuntu/3CX/venv/lib/python3.12/site-packages/crispy_bootstrap4/locale with glob **/*.mo.
DEBUG 2024-09-07 20:45:08,410 autoreload Watching dir /home/ubuntu/3CX/venv/lib/python3.12/site-packages/import_export/locale with glob **/*.mo.
DEBUG 2024-09-07 20:45:08,565 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/crispy_forms/templatetags/__init__.py first seen with mtime 1722303865.0917892
DEBUG 2024-09-07 20:45:08,566 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/core/handlers/__init__.py first seen with mtime 1721970293.6010983
DEBUG 2024-09-07 20:45:08,566 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/phonenumbermatcher.py first seen with mtime 1722277845.881291
DEBUG 2024-09-07 20:45:08,566 autoreload File /home/ubuntu/3CX/cdr/cdr3cx/urls.py first seen with mtime 1725644688.738386
DEBUG 2024-09-07 20:45:08,566 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/utils/dateformat.py first seen with mtime 1721970293.6980803
DEBUG 2024-09-07 20:45:08,566 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/tablib/formats/_csv.py first seen with mtime 1723011393.3126793
DEBUG 2024-09-07 20:45:08,566 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/data/alt_format_34.py first seen with mtime 1722277845.9002886
DEBUG 2024-09-07 20:45:08,566 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/urls/base.py first seen with mtime 1721970293.694081
DEBUG 2024-09-07 20:45:08,566 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/sqlparse/engine/filter_stack.py first seen with mtime 1721970292.4013205
DEBUG 2024-09-07 20:45:08,566 autoreload File /usr/lib/python3.12/asyncio/staggered.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,566 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/core/mail/__init__.py first seen with mtime 1721970293.603098
DEBUG 2024-09-07 20:45:08,566 autoreload File /usr/lib/python3.12/encodings/aliases.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,566 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/core/management/color.py first seen with mtime 1721970293.6060975
DEBUG 2024-09-07 20:45:08,567 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/data/alt_format_62.py first seen with mtime 1722277845.9072878
DEBUG 2024-09-07 20:45:08,567 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/core/handlers/wsgi.py first seen with mtime 1721970293.6020982
DEBUG 2024-09-07 20:45:08,567 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/conf/locale/__init__.py first seen with mtime 1721970292.5742886
DEBUG 2024-09-07 20:45:08,567 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/requests/_internal_utils.py first seen with mtime 1723270972.6945057
DEBUG 2024-09-07 20:45:08,567 autoreload File /usr/lib/python3.12/difflib.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,567 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/views/csrf.py first seen with mtime 1721970293.7070787
DEBUG 2024-09-07 20:45:08,567 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/db/backends/postgresql/client.py first seen with mtime 1721970293.6280935
DEBUG 2024-09-07 20:45:08,567 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/urllib3/util/connection.py first seen with mtime 1723270972.306525
DEBUG 2024-09-07 20:45:08,567 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/data/alt_format_95.py first seen with mtime 1722277845.9112873
DEBUG 2024-09-07 20:45:08,567 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/contrib/auth/checks.py first seen with mtime 1721970292.9902115
DEBUG 2024-09-07 20:45:08,567 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/import_export/forms.py first seen with mtime 1723011393.4566724
DEBUG 2024-09-07 20:45:08,567 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/db/models/base.py first seen with mtime 1721970293.6390913
DEBUG 2024-09-07 20:45:08,568 autoreload File /usr/lib/python3.12/quopri.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,568 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/import_export/widgets.py first seen with mtime 1723011393.4606721
DEBUG 2024-09-07 20:45:08,568 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/templatetags/tz.py first seen with mtime 1721970293.6910818
DEBUG 2024-09-07 20:45:08,568 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/geodata/data21.py first seen with mtime 1722277846.0442712
DEBUG 2024-09-07 20:45:08,568 autoreload File /usr/lib/python3.12/threading.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,568 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/charset_normalizer/utils.py first seen with mtime 1723270972.6125097
DEBUG 2024-09-07 20:45:08,568 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/urllib3/contrib/__init__.py first seen with mtime 1723270972.303525
DEBUG 2024-09-07 20:45:08,568 autoreload File /usr/lib/python3.12/collections/abc.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,568 autoreload File /usr/lib/python3.12/json/decoder.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,568 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/urllib3/response.py first seen with mtime 1723270972.303525
DEBUG 2024-09-07 20:45:08,568 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/contrib/staticfiles/handlers.py first seen with mtime 1721970293.586101
DEBUG 2024-09-07 20:45:08,568 autoreload File /usr/lib/python3.12/encodings/idna.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,568 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/forms/models.py first seen with mtime 1721970293.656088
DEBUG 2024-09-07 20:45:08,568 autoreload File /usr/lib/python3.12/json/__init__.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,569 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/db/models/fields/related_descriptors.py first seen with mtime 1721970293.6480896
DEBUG 2024-09-07 20:45:08,569 autoreload File /home/ubuntu/3CX/cdr/cdr3cx/project_numbers.py first seen with mtime 1722608965.3981218
DEBUG 2024-09-07 20:45:08,569 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/db/models/fields/__init__.py first seen with mtime 1721970293.6450903
DEBUG 2024-09-07 20:45:08,569 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/utils/duration.py first seen with mtime 1721970293.6990802
DEBUG 2024-09-07 20:45:08,569 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/db/backends/base/client.py first seen with mtime 1721970293.6180952
DEBUG 2024-09-07 20:45:08,569 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/core/serializers/base.py first seen with mtime 1721970293.6130962
DEBUG 2024-09-07 20:45:08,569 autoreload File /usr/lib/python3.12/reprlib.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,569 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/utils/autoreload.py first seen with mtime 1721970293.6970806
DEBUG 2024-09-07 20:45:08,569 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1721970292.9142256
DEBUG 2024-09-07 20:45:08,569 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/core/files/storage/__init__.py first seen with mtime 1721970293.6000986
